Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,1.1556164383561645,0.2819672131147541,0.00027397260273972606,11.038082191780822,0.9087671232876712,0.2762295081967213,1.5964383561643838,9.308767123287671,11.146301369863012,0.7571038251366119,29.815890410958904,1.8161643835616437,2.695150684931507,2.2414207650273226,12.274904109589041,2.6900821917808218,4.308164383561644,1.0916666666666668,0.2706027397260274,25.293890410958905,4.201780821917809,12.625355191256832,1.4154520547945204
Std,5.631477332705058,0.9435732914310734,0.005227064117353128,77.64354308391253,6.312299788270619,2.097294117188301,8.374639696991101,52.285432423242845,53.104349782030006,3.3892938679976647,158.66390417237585,9.440271186918682,10.802481084456188,19.24310676815769,53.56773473060895,15.753422319856883,20.359161208744897,10.552519172378906,0.9343374583200071,123.25798263599333,13.19017340154859,67.99092944775002,5.60930959305287
CV,4.873137094446054,3.3463936498427604,19.078784028338916,7.034151561376077,6.9460036862188,7.592578109702455,5.245827165611381,5.61679454763035,4.764302347468527,4.476656642681868,5.321454499110264,5.197916704216804,4.008117670322658,8.58522731135808,4.36400433374973,5.8561118942719705,4.725715965348931,9.666429776224952,3.452801177349424,4.8730337893213225,3.1391864451245293,5.385268645339525,3.9629103465939486
SP_Tim,51.0,123.0,nan,45.0,45.0,96.0,104.0,2.0,116.0,72.0,61.0,65.0,52.0,365.0,64.0,71.0,71.0,45.0,150.0,67.0,91.0,70.0,86.0
SP_Mag,92.0,1.3,nan,1150.0,66.0,38.0,103.0,729.0,62.0,63.0,1570.0,49.0,14.0,348.0,184.0,37.0,273.0,82.0,0.42,1730.0,170.0,121.0,7.0
SP_Dur,107.0,53.0,nan,37.0,148.0,25.0,26.0,112.0,41.0,56.0,24.0,28.0,84.0,23.0,68.0,30.0,89.0,46.0,21.0,90.0,45.0,28.0,67.0
SP_ROC,0.16666666666666663,0.41666666666666663,nan,0.13392857142857142,0.18518518518518517,0.5,0.10170940170940167,0.06976744186046507,0.05701516793066083,0.11111111111111108,0.0919661733615222,0.12701612903225812,0.07692307692307698,0.12232142857142853,0.07142857142857134,0.11829836829836834,0.0555555555555556,0.10416666666666664,0.25000000000000006,0.06666666666666667,0.0578517924023542,0.06458333333333333,0.09523809523809532
SU_BFL_Tim,158.0,176.0,nan,82.0,193.0,121.0,130.0,114.0,157.0,128.0,85.0,93.0,136.0,23.0,132.0,101.0,160.0,91.0,171.0,157.0,136.0,98.0,153.0
SU_BFL_Mag_10,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.03,0.0,0.0,nan,0.0,0.13,0.0,0.02,0.0
SU_BFL_Mag_50,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9,0.0,0.0,0.0,0.35,0.0,0.0,nan,0.0,0.3,0.03,0.15,0.02
SU_BFL_Dur_Fl,nan,nan,nan,nan,132.0,nan,nan,198.0,169.0,nan,227.0,nan,nan,296.0,192.0,238.0,nan,nan,nan,170.0,nan,nan,nan
SU_BFL_Dur_Wet,224.0,nan,nan,313.0,183.0,229.0,185.0,214.0,173.0,250.0,327.0,236.0,214.0,360.0,229.0,238.0,238.0,nan,208.0,230.0,264.0,301.0,247.0
SU_BFL_No_Flow,202.0,nan,nan,197.0,139.0,226.0,109.0,141.0,2.0,185.0,0.0,145.0,141.0,187.0,8.0,141.0,184.0,nan,181.0,0.0,118.0,0.0,80.0
FAFL_Tim,nan,nan,nan,336.0,nan,324.0,nan,nan,311.0,325.0,nan,310.0,nan,nan,319.0,322.0,338.0,nan,275.0,nan,326.0,nan,nan
FAFL_Mag,nan,nan,nan,24.956583994488344,nan,8.20871021147546,nan,nan,13.988731967681158,6.551944850610298,nan,3.267216730798434,nan,nan,6.484165416709494,7.195351745900318,177.75181837577642,nan,2.4454299389236045,nan,1.9031717289615218,nan,nan
FAFL_Tim_Wet,29.0,16.0,nan,30.0,29.0,10.0,350.0,313.0,327.0,329.0,13.0,45.0,328.0,349.0,18.0,359.0,338.0,32.0,nan,12.0,21.0,34.0,34.0
FAFL_Dur,nan,nan,nan,10.0,nan,16.0,nan,nan,12.0,10.0,nan,2.0,nan,nan,14.0,7.0,4.0,nan,4.0,nan,3.0,nan,nan
Wet_BFL_Mag,0.2,0.0,nan,0.0,0.1,0.0,0.1,1.6,2.1800000000000006,0.4,12.0,0.65,0.512,0.0,4.53,0.72,0.78,0.10400000000000009,nan,5.64,2.6,3.13,0.5840000000000001
WIN_Tim_2,47.0,nan,nan,44.5,40.0,nan,45.0,326.0,46.5,68.0,46.0,61.0,344.0,359.5,38.0,6.0,40.0,156.5,nan,60.0,52.0,46.0,63.0
WIN_Dur_2,1.0,nan,nan,6.5,2.0,nan,1.5,4.0,2.5,1.0,8.0,2.0,1.0,2.0,3.0,3.0,2.0,1.5,nan,1.5,1.0,7.0,1.0
WIN_Fre_2,1.0,0.0,nan,2.0,1.0,0.0,2.0,3.0,6.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,0.0,8.0,3.0,3.0,2.0
WIN_Mag_2,92.0,nan,nan,264.61538461538464,83.0,nan,83.66666666666667,214.16666666666666,166.0,63.0,328.17241379310343,75.5,134.0,133.75,183.1875,138.66666666666666,121.57142857142857,111.0,nan,242.46666666666667,87.66666666666667,198.44444444444446,65.5
WIN_Tim_5,47.0,nan,nan,39.0,40.0,92.0,95.0,360.5,79.0,68.0,58.0,61.0,352.0,358.0,38.0,17.0,49.5,156.5,nan,23.5,65.5,29.0,61.0
WIN_Dur_5,1.0,nan,nan,1.0,2.0,1.0,1.0,6.5,3.0,1.0,32.0,2.5,4.0,9.0,13.0,2.0,2.5,1.5,nan,6.5,3.5,5.0,2.0
WIN_Fre_5,4.0,0.0,nan,3.0,1.0,1.0,3.0,4.0,9.0,1.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,2.0,0.0,6.0,4.0,3.0,3.0
WIN_Mag_5,39.2,nan,nan,153.375,83.0,38.0,50.142857142857146,118.41666666666667,58.905660377358494,63.0,161.96875,67.0,42.166666666666664,74.0,66.16949152542372,55.0,70.0,111.0,nan,96.56179775280899,44.470588235294116,100.02439024390245,37.166666666666664
WIN_Tim_10,46.5,32.0,nan,5.0,57.5,21.0,94.0,17.5,21.0,13.5,20.0,59.0,17.5,357.0,361.0,4.0,48.5,156.5,5.0,6.0,60.5,29.0,61.0
WIN_Dur_10,3.0,2.0,nan,21.5,2.0,1.0,3.0,11.0,20.5,2.0,95.0,16.0,7.5,14.0,6.5,3.0,2.5,2.0,1.5,3.0,4.0,9.0,2.0
WIN_Fre_10,4.0,1.0,nan,2.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,5.0,6.0,2.0,2.0,5.0,8.0,3.0,5.0
WIN_Mag_10,22.20909090909091,11.0,nan,89.50232558139534,46.625,14.875,28.279999999999998,67.01333333333334,32.37719298245614,21.575,111.97052631578946,28.04375,20.094444444444445,50.76428571428571,42.474,23.354838709677423,34.854285714285716,84.975,8.733333333333334,66.81333333333333,19.146551724137936,68.18730158730159,18.76875
WIN_Tim_20,41.0,32.0,nan,117.0,82.0,21.0,44.5,320.0,323.5,352.0,20.0,16.0,350.0,27.0,321.0,15.0,29.5,63.0,66.5,4.0,132.0,80.5,61.0
WIN_Dur_20,3.0,2.0,nan,2.0,3.0,2.0,5.0,135.0,105.0,2.0,135.0,3.0,13.0,2.0,4.0,16.0,14.5,1.0,2.0,6.0,2.0,71.5,4.0
WIN_Fre_20,3.0,3.0,nan,6.0,5.0,3.0,4.0,1.0,2.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,9.0,2.0,7.0
WIN_Mag_20,9.134285714285715,4.9125,nan,47.867469879518076,12.861111111111112,10.85,12.856410256410255,24.766666666666666,19.197619047619046,6.42,79.86666666666666,14.911764705882353,9.846153846153847,23.224242424242423,27.95506329113924,11.606756756756756,14.544554455445546,44.1375,4.63,50.80220994475138,10.632089552238808,31.988111888111888,7.429310344827586
WIN_Tim_50,365.5,87.0,nan,4.5,38.0,52.0,50.0,146.0,335.0,309.0,1.0,288.0,77.5,40.0,119.5,296.0,337.0,185.0,103.0,220.0,274.0,358.0,13.0
WIN_Dur_50,123.0,26.0,nan,6.5,2.0,7.0,26.0,13.0,2.0,8.0,17.0,234.0,107.0,48.5,28.0,11.0,208.0,4.0,8.0,26.5,284.0,213.0,36.0
WIN_Fre_50,2.0,3.0,nan,4.0,3.0,6.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,6.0,4.0,1.0,1.0,3.0
WIN_Mag_50,1.7069105691056905,0.9333333333333335,nan,25.165625,2.321830985915493,1.5327868852459017,3.0829787234042554,16.890049751243783,15.810505836575876,1.2124444444444444,40.90827067669172,2.8176923076923077,4.588551401869159,8.434845360824744,15.497854671280278,3.9193599999999997,7.5503846153846155,6.216031746031745,1.013258426966292,34.57352059925094,5.391514084507043,21.675727699530512,2.8619553072625696
