Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Avg,0.45041095890410954,23.2396174863388,6.4,3.3230136986301373,1.8224657534246573,21.502459016393438,1.7219178082191782,32.55205479452055,3.6186301369863014,1.9508196721311475,0.9471232876712329,30.663287671232872,7.36027397260274,1.281967213114754,3.7575342465753425,13.088493150684933,9.265589041095891,1.0696448087431694,28.34449315068493,2.5062465753424656,1.6329589041095889,0.7120218579234974,21.625808219178083,7.342630136986302,19.02758904109589,2.0907103825136613,0.8242739726027397,50.04109589041096,11.621835616438354,20.641256830601094,6.995671232876712,2.22613698630137,50.904794520547945,4.621584699453552,1.6092602739726025,14.213863013698631,2.2285753424657533,1.224016393442623
Std,1.0223159825118064,158.51311003638023,27.946520355851106,13.382289122212883,7.326270198126087,135.45656017117366,6.440953017532921,111.11599037805327,18.806216788719023,8.622415626766427,4.864258656000047,151.9921820993705,33.97438898308922,1.751081620157974,18.052499677468255,52.15335058442035,77.43233747678539,1.8667395481174756,112.3445265175021,7.284163373290693,5.1430949597916635,6.139717848268993,107.52174717124784,43.27826474869022,90.30567868305101,7.068521617425558,1.5897268935801172,199.9271536565506,35.28554592006602,89.50456176398191,36.12875848241887,7.720321388219478,151.62017535636465,17.698864731650843,3.9824522287373725,77.09876095255741,12.025571732961286,4.305661603833467
CV,2.2697404721217116,6.820814074481248,4.366643805601735,4.027154365246683,4.019976882615788,6.299584622758812,3.7405693737462467,3.413486217059247,5.197054154968537,4.419893724644975,5.135824152270804,4.9568129722098835,4.615913634404453,1.3659332331155554,4.804347343985354,3.9846718781138772,8.356979478946009,1.7451957255894048,3.963539793082783,2.9064033223847296,3.1495556604935278,8.6229345067784,4.971918093488686,5.894109323400196,4.74603894839269,3.380918599029998,1.9286389555166616,3.995259298365232,3.0361422312803015,4.336197281906281,5.16444488023235,3.468035181898872,2.978504810488185,3.8296095133220267,2.4747098360331323,5.4241947370854335,5.396080403391649,3.5176502756826027
SP_Tim,123.0,79.0,18.0,93.0,158.0,30.0,144.0,100.0,51.0,122.0,31.0,69.0,120.0,114.0,104.0,34.0,115.0,139.0,101.0,67.0,76.0,365.0,85.0,96.0,85.0,108.0,134.0,109.0,90.0,70.0,86.0,105.0,114.0,363.0,115.0,78.0,nan,115.0
SP_Mag,2.3,2600.0,89.0,143.0,0.9,1550.0,4.1,838.0,322.0,63.0,36.0,403.0,37.0,2.0,264.0,420.0,58.0,0.94,79.0,118.0,5.8,116.0,130.0,44.0,146.0,3.7,19.0,413.0,563.0,476.0,75.0,60.0,535.0,326.0,1.9,538.0,9.1,15.0
SP_Dur,17.0,18.0,172.0,14.0,19.0,154.0,31.0,45.0,125.0,19.0,76.0,26.0,56.0,87.0,28.0,71.0,36.0,43.0,39.0,140.0,118.0,11.0,43.0,71.0,44.0,63.0,44.0,29.0,46.0,37.0,41.0,18.0,34.0,32.0,55.0,36.0,nan,37.0
SP_ROC,0.24999999999999994,0.09166666666666667,0.10818713450292394,0.10526315789473682,0.225,0.09999999999999998,0.16666666666666663,0.07547169811320754,0.1291666666666667,0.1250000000000001,0.1547619047619047,0.07037037037037036,0.08620689655172414,0.1547619047619047,0.10344827586206891,0.05999999999999996,0.08248299319727895,0.07999999999999996,0.06696428571428571,0.11764705882352938,0.09807692307692316,0.16666666666666663,0.06904761904761905,0.08108108108108115,0.06904761904761905,0.07692307692307698,0.1492537313432837,0.058823529411764705,0.060180995475113144,0.06904761904761905,0.06350806451612905,0.0571428571428572,0.05714285714285714,0.03797468354430389,0.08333333333333323,0.0625,nan,0.07042253521126751
SU_BFL_Tim,140.0,97.0,190.0,107.0,177.0,184.0,175.0,145.0,176.0,141.0,107.0,95.0,176.0,201.0,132.0,105.0,151.0,182.0,140.0,207.0,194.0,11.0,128.0,167.0,129.0,171.0,178.0,138.0,136.0,107.0,127.0,123.0,148.0,30.0,170.0,114.0,77.0,152.0
SU_BFL_Mag_10,0.1,1.0,0.2,0.2,0.1,0.3,0.1,1.3,0.1,0.0,0.0,0.6600000000000001,0.6,0.0,0.0,0.4,0.528,0.01,1.4,0.06,0.05,0.01,0.782,0.71,1.3,0.13600000000000004,0.05,2.2,1.5,1.4,0.77,0.07,3.41,0.25,0.1,0.79,0.06,0.05
SU_BFL_Mag_50,0.1,1.8,0.4,0.3,0.2,0.6,0.1,2.4,0.2,0.1,0.0,1.6,0.9,0.1,0.2,0.7,0.72,0.04,2.4,0.13,0.06,0.06,1.4,0.86,2.2,0.34,0.06,3.5,2.5,2.0,1.2,0.57,5.2,1.2,0.16,1.4,0.48,0.155
