Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
Avg,44.52515068493151,94.30095890410959,109.91402739726028,97.51519125683062,55.076767123287674,76.76013698630136,43.056602739726024,44.46139344262295,77.27235616438357,53.98438356164383,29.473150684931504,3.4214285714285713
Std,87.09048662508283,149.74809268906236,185.87533555629062,156.87558572321467,115.3083636000609,179.73330867532178,81.50436386648595,119.72015504050145,180.48191715115973,136.86031115639582,52.56710354399119,7.67176442467801
CV,1.9559840962999044,1.5879805935094942,1.6910974873524083,1.6087297138149852,2.0935935354002644,2.341492807749901,1.8929585401610478,2.692676629557265,2.3356595567917675,2.535183364650583,1.7835590129448475,2.2422693516804206
SP_Tim,91.0,108.0,133.0,163.0,96.0,131.0,77.0,158.0,95.0,155.0,143.0,nan
SP_Mag,352.0,912.0,102.0,103.0,245.0,208.0,404.0,234.0,396.0,467.0,56.0,nan
SP_Dur,97.0,37.0,23.0,24.0,94.0,21.0,37.0,38.0,92.0,26.0,46.0,nan
SP_ROC,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.07692307692307693,0.07142857142857134,0.09173669467787116,0.09090909090909091,0.09433962264150944,0.08695652173913043,0.09090909090909091,0.07142857142857142,nan
SU_BFL_Tim,188.0,145.0,156.0,187.0,190.0,152.0,114.0,196.0,187.0,181.0,189.0,nan
SU_BFL_Mag_10,0.504,0.7,1.4,0.79,0.57,0.45,0.24400000000000002,0.34,1.2,1.4,nan,nan
SU_BFL_Mag_50,1.5,1.9,3.5,1.5,1.3,4.0,0.84,0.61,2.3,2.9,nan,nan
SU_BFL_Dur_Fl,94.0,158.0,nan,nan,108.0,123.0,nan,nan,112.0,124.0,nan,nan
SU_BFL_Dur_Wet,125.0,176.0,157.0,119.0,148.0,180.0,215.0,119.0,178.0,191.0,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,288.0,280.0,302.0,nan,nan,296.0,274.0,nan,nan,297.0,304.0,nan
FAFL_Mag,11.98074541487409,53.98984626806448,252.9570500057116,nan,nan,78.99750051490867,16.043763692901678,nan,nan,24.994770427319956,10.975361946398836,nan
FAFL_Tim_Wet,330.0,311.0,320.0,312.0,306.0,336.0,331.0,328.0,315.0,363.0,6.0,nan
FAFL_Dur,4.0,2.0,5.0,nan,nan,5.0,4.0,nan,nan,8.0,6.0,nan
Wet_BFL_Mag,8.62,19.8,25.0,15.900000000000002,5.6,16.0,21.0,7.82,9.34,6.52,7.22,nan
WIN_Tim_2,54.5,47.0,35.0,340.0,5.5,41.0,33.0,343.0,10.0,7.0,nan,nan
WIN_Dur_2,1.0,2.0,2.0,1.0,1.5,1.5,1.0,2.0,2.0,3.0,nan,nan
WIN_Fre_2,4.0,5.0,10.0,7.0,4.0,4.0,1.0,3.0,3.0,1.0,0.0,nan
WIN_Mag_2,565.5,671.5833333333334,699.1578947368421,673.0,648.2857142857143,874.75,750.0,769.0,1119.6,1185.0,nan,nan
WIN_Tim_5,28.0,360.0,49.0,358.0,332.0,31.0,33.0,343.0,75.0,32.0,13.0,nan
WIN_Dur_5,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.5,2.0,1.0,nan
WIN_Fre_5,5.0,13.0,13.0,11.0,5.0,6.0,5.0,7.0,8.0,5.0,1.0,nan
WIN_Mag_5,466.1111111111111,487.51612903225805,525.8536585365854,502.7352941176471,507.2857142857143,621.04,421.125,519.8571428571429,606.2941176470588,600.4545454545455,392.0,nan
WIN_Tim_10,39.5,16.0,19.0,49.0,328.0,33.0,33.0,64.0,44.0,63.0,58.5,nan
WIN_Dur_10,3.5,7.0,6.0,4.5,3.0,4.0,2.0,5.0,3.0,2.0,2.0,nan
WIN_Fre_10,6.0,10.0,9.0,12.0,9.0,9.0,7.0,4.0,12.0,9.0,4.0,nan
WIN_Mag_10,336.7,366.73015873015873,415.48571428571427,391.3114754098361,341.4864864864865,473.2,331.8888888888889,434.7142857142857,384.3488372093023,377.4,264.25,nan
WIN_Tim_20,45.0,339.0,43.5,86.0,350.0,43.0,13.0,8.0,20.5,97.0,64.5,nan
WIN_Dur_20,8.0,11.0,11.5,7.0,2.0,11.0,3.0,7.0,5.5,9.5,5.0,nan
WIN_Fre_20,7.0,9.0,10.0,12.0,7.0,9.0,9.0,5.0,8.0,6.0,4.0,nan
WIN_Mag_20,202.28571428571428,253.57983193277312,297.4957983193277,281.5566037735849,267.9824561403509,320.4225352112676,200.98076923076923,302.1081081081081,254.48387096774192,241.47761194029852,160.66666666666666,nan
WIN_Tim_50,64.5,301.0,59.5,47.5,29.0,1.0,313.0,65.0,315.0,6.0,10.5,nan
WIN_Dur_50,3.0,7.0,3.5,116.0,2.0,4.0,2.5,7.0,17.0,5.0,12.5,nan
WIN_Fre_50,6.0,3.0,6.0,2.0,9.0,7.0,6.0,7.0,3.0,7.0,6.0,nan
WIN_Mag_50,86.24309392265194,166.99507389162562,186.04245283018867,152.28879310344828,108.43820224719101,132.26442307692307,90.54819277108433,94.35365853658537,137.0742574257426,128.53424657534248,64.85526315789474,nan
